abacus|danh từ,  số nhiều abaci,  abacuses: bàn tính
alone|phó từ & tính từ: một mình, trơ trọi, cô độc, đơn độc
favoritism|danh từ: sự thiên vị
long greens|danh từ: (từ Mỹ,nghĩa Mỹ),  (từ lóng) tiền giấy
luminescence|danh từ: sự phát sáng, sự phát quang
marvellous|tính từ: kỳ lạ, kỳ diệu, tuyệt diệu, phi thường
tirade|danh từ: tràng đả kích, tràng chửi rủa; diễn văn đả kích
welcome|tính từ: được tiếp đ i ân cần, được hoan nghênh
wonderful|tính từ: kỳ lạ, phi thường; kỳ diệu, thần kỳ
zebra markings|danh từ số nhiều: đường vằn
